date,XLE,ICLN,ENPH,NEE,FSLR,TSLA,PLUG
2025-09-10,180.82,240.12,245.2,239.19,247.35,135.36,204.51
2025-09-11,181.89,244.32,241.96,246.14,245.76,137.39,203.65
2025-09-12,182.91,250.3,243.03,244.33,241.22,135.81,205.35
2025-09-13,182.19,252.85,244.51,251.49,239.59,135.72,205.47
2025-09-14,180.4,250.49,240.97,246.92,238.52,137.81,202.25
2025-09-15,176.7,248.7,242.39,243.14,244.2,138.98,204.87
2025-09-16,177.76,249.12,238.07,242.02,247.71,138.07,204.16
2025-09-17,180.08,250.44,238.24,241.91,252.1,135.01,205.88
2025-09-18,183.65,246.86,233.22,245.38,255.33,135.71,203.49
2025-09-19,180.69,249.66,237.98,247.16,259.08,132.56,202.8
2025-09-20,184.48,250.1,236.99,245.74,256.54,132.2,202.01
2025-09-21,184.41,243.79,234.64,245.38,255.9,134.61,203.78
2025-09-22,184.58,240.52,230.73,244.32,252.23,135.88,204.82
2025-09-23,187.15,238.82,226.54,241.09,251.56,131.82,204.38
2025-09-24,185.72,238.68,228.14,238.0,254.27,132.29,203.35
2025-09-25,179.79,245.56,231.69,241.79,254.91,131.72,204.41
2025-09-26,181.78,246.56,234.95,235.28,260.05,129.27,205.12
2025-09-27,182.82,243.57,239.99,241.11,255.73,129.98,205.62
2025-09-28,181.92,244.5,246.4,239.99,257.77,129.09,211.79
2025-09-29,183.71,243.33,250.06,237.33,253.07,128.21,213.65
2025-09-30,186.08,244.64,248.3,240.08,253.56,128.52,219.93
2025-10-01,181.95,246.89,249.06,245.55,256.5,127.37,219.81
2025-10-02,182.11,251.49,240.75,249.79,255.8,127.62,219.76
2025-10-03,175.98,251.53,243.17,251.79,258.05,126.55,218.2
2025-10-04,175.74,257.84,243.84,256.02,254.46,125.59,219.3
2025-10-05,174.84,261.48,249.79,249.56,248.24,127.52,218.34
2025-10-06,176.22,258.83,247.13,247.73,250.44,129.68,216.91
2025-10-07,173.47,267.54,249.17,244.47,257.11,126.42,210.84
2025-10-08,172.46,268.99,245.54,249.08,253.4,127.9,215.58
2025-10-09,164.23,265.75,245.26,247.77,258.17,130.65,214.45
2025-10-10,165.68,272.47,239.37,251.04,258.47,133.77,219.3
2025-10-11,165.55,281.1,244.36,253.18,253.42,134.88,219.09
2025-10-12,165.85,281.1,248.34,250.03,249.25,132.8,221.32
2025-10-13,162.21,279.12,246.7,247.96,249.43,134.13,221.68
2025-10-14,163.26,278.54,247.79,252.89,248.04,132.44,223.17
2025-10-15,167.39,281.66,248.06,250.08,243.28,131.83,219.9
2025-10-16,167.01,287.2,245.9,250.67,237.22,132.65,223.91
2025-10-17,168.72,289.81,246.48,247.86,234.33,131.12,222.79
2025-10-18,166.61,290.39,244.97,246.81,235.12,128.93,226.0
2025-10-19,166.5,297.06,248.69,246.76,235.22,129.89,221.16
2025-10-20,162.76,295.82,248.03,243.99,233.57,133.6,218.77
2025-10-21,164.76,300.54,257.05,240.6,234.39,136.15,220.09
2025-10-22,165.24,299.39,256.88,241.75,238.17,137.67,219.66
2025-10-23,162.3,301.48,257.44,238.81,239.69,139.76,221.28
2025-10-24,160.43,301.11,259.61,236.02,239.38,141.16,222.08
2025-10-25,160.66,301.01,263.0,232.82,242.83,142.19,228.28
2025-10-26,162.96,299.46,263.44,232.66,239.45,144.18,230.24
2025-10-27,166.66,305.65,265.57,236.07,238.77,141.29,228.87
2025-10-28,166.41,302.44,266.43,241.52,238.16,141.78,227.63
2025-10-29,163.08,299.24,263.45,239.01,233.86,141.68,231.85
2025-10-30,163.75,308.91,259.44,246.84,232.51,141.92,226.66
2025-10-31,168.22,313.59,262.29,243.25,225.39,141.01,228.67
2025-11-01,164.21,302.53,268.39,247.32,231.97,142.18,224.96
2025-11-02,161.94,300.11,261.96,244.77,228.82,140.51,228.81
2025-11-03,163.5,292.11,256.46,241.69,234.38,139.45,227.44
2025-11-04,163.96,288.09,251.03,239.11,234.63,138.15,229.35
2025-11-05,162.7,274.67,254.07,239.05,236.74,140.01,229.6
2025-11-06,163.32,274.24,257.47,241.24,235.12,140.06,224.93
2025-11-07,165.8,269.68,253.83,243.79,235.97,139.16,227.21
2025-11-08,165.63,270.06,262.35,240.46,238.39,138.45,224.86
2025-11-09,165.26,263.61,260.97,237.01,240.88,138.53,227.68
2025-11-10,166.8,264.07,266.72,233.87,243.8,141.97,224.37
2025-11-11,166.2,262.56,270.09,233.6,242.58,139.41,225.3
2025-11-12,169.14,268.61,266.34,232.98,240.95,140.89,225.54
2025-11-13,174.36,274.43,264.81,229.77,235.31,141.96,223.62
2025-11-14,172.11,277.8,261.47,230.82,237.28,140.15,228.36
2025-11-15,168.97,276.57,256.33,238.77,241.25,143.3,228.59
2025-11-16,170.0,284.95,255.49,237.08,247.22,144.53,227.26
2025-11-17,166.81,278.45,251.02,235.65,248.47,143.5,228.39
2025-11-18,163.63,272.73,250.49,237.75,245.74,139.57,223.52
2025-11-19,158.68,272.52,257.88,235.88,239.61,140.12,231.85
2025-11-20,157.85,281.87,260.7,238.36,243.47,140.1,228.19
2025-11-21,157.85,281.16,258.65,235.91,237.03,138.0,230.19
2025-11-22,156.71,280.53,256.3,242.51,235.94,135.91,230.52
2025-11-23,160.05,274.6,254.89,243.89,235.26,137.75,234.71
2025-11-24,163.29,278.63,262.93,241.74,235.13,133.78,235.46
2025-11-25,168.1,282.76,258.77,239.73,235.38,134.47,233.32
2025-11-26,168.3,286.25,258.9,238.0,235.98,134.16,226.93
2025-11-27,171.37,283.69,260.83,243.02,227.55,135.23,220.99
2025-11-28,172.25,280.82,265.72,238.52,227.72,134.7,220.31
2025-11-29,172.88,275.51,264.53,236.25,220.21,135.36,224.95
2025-11-30,171.75,276.0,260.84,234.37,222.74,133.92,219.42
2025-12-01,166.01,271.66,262.1,234.44,221.0,133.89,225.61
2025-12-02,167.68,267.0,267.4,233.6,213.96,134.94,229.41
2025-12-03,170.66,265.44,266.44,228.49,211.45,135.31,224.88
2025-12-04,166.84,263.62,263.22,227.23,209.75,136.15,221.33
2025-12-05,166.9,261.63,263.78,227.01,213.6,134.32,218.17
2025-12-06,169.47,263.59,257.49,224.98,214.34,133.2,219.26
2025-12-07,168.64,264.03,256.78,227.41,215.55,132.12,219.19
2025-12-08,171.74,263.02,261.44,230.66,219.48,131.64,218.99
2025-12-09,171.47,263.88,265.0,230.51,219.27,134.39,217.44
2025-12-10,170.2,260.09,264.56,231.42,221.86,133.74,218.13
2025-12-11,173.48,260.63,271.28,224.03,224.25,131.51,220.98
2025-12-12,171.14,261.35,279.19,222.73,220.04,132.65,220.66
2025-12-13,169.36,255.58,282.11,226.2,225.01,135.39,218.58
2025-12-14,167.17,259.53,276.04,224.88,220.33,132.9,221.94
2025-12-15,164.39,256.23,268.39,222.5,223.47,136.9,221.32
2025-12-16,164.85,256.7,274.1,230.21,218.49,137.82,223.26
2025-12-17,163.66,261.31,275.24,236.61,220.57,140.03,223.04
2025-12-18,164.94,265.07,282.13,238.39,226.84,143.18,226.78
2025-12-19,160.73,265.34,276.61,242.58,226.23,145.34,231.09
2025-12-20,158.11,264.03,276.08,234.6,225.48,145.17,235.36
